curveID,date,taxon,temp_acclim,light_acclim,vpd_acclim,patm_acclim,co2_acclim,Photo,Tleaf,gsw,Ci,Qin,VPDleaf,CO2_r,patm,z,PPFD
11,20210319 12:52:46,HOVU,30,250,1000,,420,11.28583987,37.28536129,0.228237169,302.367724,600.0352258,3.035142002,419.8540968,,85,600
11,20210319 13:02:51,HOVU,30,250,1000,,420,9.680780737,39.66848065,0.190500022,297.8620733,599.9814839,3.841296909,420.1637097,,85,600
12,20210319 14:06:20,HOVU,30,250,1000,,420,7.335474868,16.50753548,0.065816712,223.0978737,600.016129,1.495600491,419.8472903,,85,600
12,20210319 14:16:22,HOVU,30,250,1000,,420,8.083864368,19.14335333,0.066989065,207.5477579,600.0314333,1.505269037,419.9962333,,85,600
12,20210319 14:26:29,HOVU,30,250,1000,,420,8.997083449,22.3920129,0.078148841,214.873649,600.001129,1.502492379,419.9080968,,85,600
12,20210319 14:36:44,HOVU,30,250,1000,,420,10.15555228,25.77034333,0.095333443,226.8815456,599.9910333,1.505837988,420.1034,,85,600
12,20210319 14:46:51,HOVU,30,250,1000,,420,9.912768148,29.12199667,0.098332989,235.9816395,599.9764,1.511400863,419.9446667,,85,600
12,20210319 14:57:09,HOVU,30,250,1000,,420,9.624490184,32.44784516,0.112369149,257.3908023,600.0112903,1.986903485,419.9880968,,85,600
12,20210319 15:07:13,HOVU,30,250,1000,,420,9.256506729,35.76215806,0.135160876,279.7758155,599.9929032,2.775630164,420.0675161,,85,600
12,20210319 15:17:43,HOVU,30,250,1000,,420,7.926710542,38.84701333,0.185198911,315.8092906,600.0201333,3.519571417,419.9075333,,85,600
12,20210319 15:27:46,HOVU,30,250,1000,,420,6.2431674,41.55207419,0.177515623,323.7604188,599.9932258,4.422971051,419.9610645,,85,600
13,20210322 10:27:20,RASA,20,250,1000,,420,19.47440644,12.11825333,0.624661748,341.7850661,599.9995333,0.978966415,420.0911667,,85,600
13,20210322 10:37:21,RASA,20,250,1000,,420,22.3568978,14.76000667,0.613283022,328.8113238,600.0195,1.173618362,419.9708333,,85,600
